override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,dunsNumber,BVD,DUNS,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,ADAM BOSTOCK,Australia,"BOSTOCK, ADAM BERTRAM",,,97454144872,"LEVEL 4, 80 MARKET STREET",,,SOUTH MELBOURNE,Victoria,3205,,,,AU97454144872,,,,,https://www.adambostock.com/about,,,,107237
,ADAPTOVATE CONSULTING PTY LTD,Australia,ADAPTOVATE CONSULTING PTY LTD,,,43629861294,"Level 5, 249 Pitt St",,,Sydney,New South Wales,2000,,,,AU629861294,,,,,https://www.adaptovate.com/en-au/,,,,112572
,ADD IMPACT INTERNATIONAL PTY LTD,Australia,ADD IMPACT INTERNATIONAL PTY LTD,,,14050029019,"Level 4, 17 William Street",,,Cremorne,Victoria,3121,,,,AU050029019,,,,,https://www.lumaresearch.com/,,,,112456
,ADDRESSFINDER PTY LIMITED,Australia,ADDRESSFINDER PTY LIMITED,,,85606672333,"Suite 5 Level 2, 196 Military road",,,Netural Bay,New South Wales,2089,,,,AU606672333,,,,,https://addressfinder.com.au/,,,,112271
,ADELAIDE PNEUMATIC SALES,Australia,A.C.N. 074 438 047 PTY LTD,,,18074438047,"UNIT 25, 937 MARION ROAD",,,MITCHELL PARK,South Australia,5043,,,,AU074438047,,,,,https://adelaidepneumatic.com.au/,,,,106134
,ADM ENTERPRISES,Australia,The Trustee for The Mirochnik Family Trust,,,46846703422,6 nardoo court,,,Clarinda,Victoria,3169,,,,AU46846703422,,,,,https://admbazaar.com/,,,,111880
,ADMIRAL TOWING PTY LTD,Australia,ADMIRAL TOWING PTY LTD,,,47096995970,117 MOORE STREET,,,MOE,Victoria,3825,,,,AU096995970,,,,,admiraltowing.com.au,,,,101470
,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,Ireland,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,,,344992 | Y5MNX1NHXXHUYLLE9Y53,"z 4-6 RIVERWALK, CITY WEST BUSINESS",,,SAGGART,,24,,,,IE344992,,,,,wika.com.au,,,,105991
,ADRA GROUP PTY LTD,Australia,ADRA GROUP PTY LTD,,,40102985839,"LEVEL 2, 30 KAY STREET",,,TRARALGON,Victoria,3844,,,,AU102985839,,,,,adragroup.com.au,,,,100583
,ADT SECURITY,Australia,ADT SECURITY,,,93076836416,LOCKED BAG 45,,,MOUNT WAVERLEY,Victoria,3149,,,,AU076836416,,,,,https://www.johnsoncontrols.com/,,,,110548
,ADTHENA APAC PTY LTD,Australia,ADTHENA APAC PTY LTD,,,25617977714,"Suite 123b,Argyle Stores, 12-20 Arg",,,The Rocks,New South Wales,2000,,,,AU617977714,,,,,https://www.adthena.com/,,,,113048
,ADVANCED INDUSTRY HEALTH PTY LTD,Australia,ADVANCED INDUSTRY HEALTH PTY LTD,,,39653982266,55 Vincent Boulevard,,,Trafalgar,Victoria,3824,,,,AU653982266,,,,,https://advancedindustryhealth.com.au/,,,,112573
,ADVANCED INFORMATION TECHNOLOGIES PTY,Australia,ADVANCED INFORMATION TECHNOLOGIES PTY,,,11073005482,20 GRACEMERE PLACE,,,GLEN ALPINE,New South Wales,2560,,,,AU073005482,,,,,aitinc.com,,,,108116
,ADVANCED PEST CONTROL AUSTRALIA PTY,Australia,ADVANCED PEST CONTROL AUSTRALIA PTY,,,12078169712,40 PORTSIDE CRESCENT,,,WICKHAM,New South Wales,2293,,,,AU078169712,,,,,advancedpestcontrol.com.au,,,,108809
,ADX ELECTRICAL GROUP PTY. LTD.,Australia,ADX ELECTRICAL GROUP PTY. LTD.,,,27132626478,,,,North Geelong,Victoria,3215,,,,AU132626478,,,,,http://www.adxelectrical.com.au/,,,,112798
,AE Components,Australia,AE Components,,,13064396023,,,,CARLISLE SOUTH,Western Australia,6101,,,,AU064396023,,,,,https://aecomponents.com.au/,,,,100431
,AECOM AUSTRALIA PTY LTD,Australia,AECOM AUSTRALIA PTY LTD,,,20093846925,"LEVEL 9, 8 EXHIBITION STREET",,,MELBOURNE,Victoria,3000,,,,AU093846925,,,,,aecom.com,,,,101298
,AEJ CONSULTING PTY LTD,Australia,AEJ CONSULTING PTY LTD,,,19078403380,,,,OCEAN GROVE,Victoria,3226,,,,AU078403380,,,,,aejconsulting.com,,,,110438
,AEP ELICAL PTY LTD,Australia,AEP ELICAL PTY LTD,,,74168930032,"LEVEL 1, 99 MELBOURNE ST",,,SOUTH BRISBANE,Queensland,4101,,,,AU168930032,,,,,aep-elical.com.au,,,,110708
,AEROBELT AUSTRALIA PTY LTD,Australia,AEROBELT AUSTRALIA PTY LTD,,,80070635791,"UNIT 5, 8-10 TECHNOLOGY DRIVE",,,APPIN,New South Wales,2560,,,,AU070635791,,,,,aerobelt.com.au,,,,111125
,AEROMETREX PTY LTD,Australia,AEROMETREX PTY LTD,,,94153103925,51-53 GLYNBURN ROAD,,,GLYNDE,South Australia,5070,,,,AU153103925,,,,,https://aerometrex.com.au/,,,,109892
,AESSEAL AUSTRALIA PTY LTD,Australia,AESSEAL AUSTRALIA PTY LTD,,,52106985684,12 COUNIHAN RD,,,SEVENTEEN MILE ROCKS,Queensland,4073,,,,AU106985684,,,,,aesseal.net.au,,,,106214
,AFCOS PTY LTD,Australia,AFCOS PTY LTD,,,18002933655,,,,CAMPBELLTOWN,New South Wales,2560,,,,AU002933655,,,,,afcos.com.au,,,,111546
,AFIAA AUSTRALIA 3 PTY. LTD,Australia,AFIAA AUSTRALIA 3 PTY. LTD,,,37142580176,SUITE 1702 109 PITT ST,,,SYDNEY,New South Wales,2000,,,,AU142580176,,,,,https://afiaa-aus.com.au/,,,,109935
,AFMA,Australia,AFMA,,,69793968987,,,,SYDNEY,New South Wales,2000,,,,AU119827904,,,,,afma.com.au,,,,102631
,AGDUST PTY LTD,Australia,AGDUST PTY LTD,,,89001939779,,,,MUDGEE,New South Wales,2850,,,,AU001939779,,,,,https://www.agdust.com/,,,,111010
,AGGREKO GENERATOR RENTALS PTY. LIMITED,Australia,AGGREKO GENERATOR RENTALS PTY. LIMITED,,,66001991457,101 Woodlands Drive,,,Braeside,Victoria,3195,,,,AU001991457,,,,,https://www.aggreko.com/en-au,,,,112445
,Agile Management Office (AMO),Australia,Agile Management Office (AMO),,,30635048783,33/385 Bourke St,,,Melbourne,Victoria,3000,,,,AU30635048783,,,,,https://agilemanagementoffice.com/,,,,113233
,AGL LOY YANG PTY LTD,Australia,AGL LOY YANG PTY LTD,,,62077985758,,,,TRARALGON,Victoria,3844,,,,AU077985758,,,,,agl.com.au,,,,101504
,AGL SALES PTY LIMITED,Australia,AGL SALES PTY LIMITED,,,88090538337,199A Peel St,,,NORTH MELBOURNE,Victoria,3051,,,,AU090538337,,,,,https://www.agl.com.au/,,,,111886
,AHHJ PTY. LTD,Australia,AHHJ PTY. LTD,,,57112589643,Level 1/24 Cook Street,,,Port Melbourne,Victoria,3207,,,,AU112589643,,,,,,,,,112554
,AI GROUP LIMITED,Australia,AI GROUP LIMITED,,,81632926099,Level 2 441 St Kilda road,,,Melbourne,Victoria,3004,,,,AU632926099,,,,,https://www.aigroup.com.au/,,,,112354
,AIMS Industrial Suppliers,Australia,AIMS Industrial Suppliers,,,85152943596,88 Bryant Street,,,Padstow,New South Wales,2211,,,,AU152943596,,,,,https://www.aimsindustrial.com.au/,,,,112477
,AIR AUTOMATION GROUP PTY LTD,Australia,AIR AUTOMATION GROUP PTY LTD,,,71617759636,15 Broadhurst Rd,,,Ingleburn,New South Wales,2565,,,,AU617759636,,,,,https://airautomation.com.au/,,,,112432
,AIR FILTER CLEANERS,Australia,AIR FILTER CLEANERS,,,59702603696,UNIT 23/2-8 GRAY STREET,,,KILKENNY,South Australia,5009,,,,AU59702603696,,,,,knfilters.co.uk,,,,104939
,AIR MET SCIENTIFIC PTY LTD,Australia,AIR MET SCIENTIFIC PTY LTD,,,73006849949,,,,NUNAWADING,Victoria,3131,,,,AU006849949,,,,,airmet.com.au,,,,100934
,AIR RECEIVER TESTING VICTORIA PTY LTD,Australia,AIR RECEIVER TESTING VICTORIA PTY LTD,,,91147643356,,,,LILYDALE,Victoria,3140,,,,AU147643356,,,,,https://www.airreceivertesting.com.au/,,,,110439
,AITAC PTY LTD,Australia,AITAC PTY LTD,,,84076790648,PO BOX 157,,,RIDDELLS CREEK,Victoria,3431,,,,AU076790648,,,,,aitac.edu.au,,,,111649
,AJ FINE FOODS PTY LTD,Australia,AJ FINE FOODS PTY LTD,,,89633505647,"CSIRO, Research Way",,,CLAYTON,Victoria,3168,,,,AU633505647,,,,,https://www.facebook.com/ajfinefoods/,,,,112045
,AJ STACK SOLUTIONS PTY LTD,Australia,AJ STACK SOLUTIONS PTY LTD,,,26163277263,7 ARNOLD STREET,,,CHELTENHAM,Victoria,3192,,,,AU163277263,,,,,ajstacksolutions.com,,,,110228
,AJB ELECTRICAL GROUP PTY LTD,Australia,AJB ELECTRICAL GROUP PTY LTD,,,26606897787,,,,MILPERRA,New South Wales,2214,,,,AU606897787,,,,,https://www.ajbgroup.com.au/,,,,112653
,ALANS PANELS,Australia,ALANS PANELS,,,42447906853,13 DELLATORRE RD,,,MOE,Victoria,3825,,,,AU42447906853,,,,,https://www.alanspanels.com.au/,,,,108489
,ALATION AUSTRALIA PTY LTD,Australia,ALATION AUSTRALIA PTY LTD,,,75658284327,L24 570 Bourke Street,,,Melbourne,Victoria,3000,,,,AU658284327,,,,,https://www.alation.com/,,,,113115
,ALCOLIZER PTY LTD,Australia,ALCOLIZER PTY LTD,,,87008622142,,,,BALCATTA,Western Australia,6914,,,,AU008622142,,,,,alcolizer.com,,,,111198
,ALEX SOLUTIONS PTY LTD,Australia,ALEX SOLUTIONS PTY LTD,,,52608949122,"GROUND FLOOR EAST, 101 COLLINS ST",,,MELBOURNE,Victoria,3000,,,,AU608949122,,,,,alexsolutions.com.au,,,,110601
,ALFA LAVAL AUSTRALIA PTY LTD,Australia,ALFA LAVAL AUSTRALIA PTY LTD,,,65000016197,LOCKED BAG 40,,,BLACKTOWN BC,New South Wales,2148,,,,AU000016197,,,,,alfalaval.com.au,,,,101825
,ALIGNALYTICS,Australia,ALIGNALYTICS,,,48103599855,Level 19 Two Melbourne Quarter 697,,,Docklands,Victoria,3008,,,,AU103599855,,,,,https://www.align-alytics.com/,,,,113383
,ALIGNMENT SYSTEMS AUSTRALIA P/L,Australia,ALIGNMENT SYSTEMS AUSTRALIA P/L,,,62070173125,1 / 22 THE CONCOURSE,,,COWES,Victoria,3922,,,,AU070173125,,,,,http://ozishim.com/,,,,101491
,ALIMAK GROUP AUSTRALIA PTY LTD,Australia,ALIMAK GROUP AUSTRALIA PTY LTD,,,80005538947,2 AUSCO PLACE,,,DANDENONG SOUTH,Victoria,3175,,,,AU005538947,,,,,alimak.com,,,,110584
,ALL FIRE GIPPSLAND PTY LTD,Australia,ALL FIRE GIPPSLAND PTY LTD,,,15666215961,,,,Traralgon,Victoria,3844,,,,AU666215961,,,,,,,,,113278
,ALL TRADES GROUP AUSTRALIA PTY LTD,Australia,ALL TRADES GROUP AUSTRALIA PTY LTD,,,38625358401,218 BERKELEY RD,,,UNANDERRA,New South Wales,2526,,,,AU625358401,,,,,alltradesgroup.com.au,,,,109934
,ALLENS,Australia,ALLENS,,,47702595758,,,,MELBOURNE,Victoria,3001,,,,AU47702595758,,,,,allenshire.co.uk,,,,100966
,ALLFLOW SYSTEMS & SOLUTIONS,Australia,ALLFLOW SYSTEMS & SOLUTIONS,,,15929290526,17 DONALD STREET,,,LITHGOW,New South Wales,2790,,,,AU15929290526,,,,,allflow.co.uk,,,,111050
,ALLFORM INDUSTRIES,Australia,ALLFORM INDUSTRIES,,,32393289205,,,,MORWELL MAIL CENTRE,Victoria,3841,,,,AU32393289205,,,,,allformindustries.com.au,,,,100414
,ALLIED EXPRESS TRANSPORT PTY LTD,Australia,ALLIED EXPRESS TRANSPORT PTY LTD,,,20001787962,,,,REGENTS PARK BUSINESS CENTRE,New South Wales,2143,,,,AU001787962,,,,,alliedexpress.com.au,,,,103767
,ALLIGHTSYKES PTY LTD,Australia,ALLIGHTSYKES PTY LTD,,,35053434807,42 MUNIBUNG ROAD,,,CARDIFF,New South Wales,2285,,,,AU053434807,,,,,,,,,111208
,ALLPLASTICS ENGINEERING PTY LTD,Australia,ALLPLASTICS ENGINEERING PTY LTD,,,78056195923,"UNIT 20, 380 EASTERN VALLEY WAY",,,CHATSWOOD,New South Wales,2067,,,,AU056195923,,,,,allplastics.com.au,,,,111101
,ALLSHELTER PTY LTD,Australia,ALLSHELTER PTY LTD,,,55163288355,"Lot 9-12 Narrandera Street,",,,Lake Cargelligo,New South Wales,2672,,,,AU163288355,,,,,https://www.allshelter.com.au/,,,,112424
,ALLUVIUM CONSULTING AUSTRALIA PTY LTD,Australia,ALLUVIUM CONSULTING AUSTRALIA PTY LTD,,,76151119792,"LEVEL 1, 105-115 DOVER ST",,,CREMORNE,Victoria,3121,,,,AU151119792,,,,,alluvium.com.au,,,,110351
,ALL-WAYS CRANE SERVICES,Australia,ALL-WAYS CRANE SERVICES,,,20081850366,,,,UNANDERRA,New South Wales,2526,,,,AU081850366,,,,,https://www.all-ways.com.au/services/crane-and-field-services/,,,,108754
,ALL-WAYS RIGGING GEAR,Australia,ALL-WAYS RIGGING GEAR,,,94002672782,279 PRINCES HIGHWAY,,,UNANDERRA,New South Wales,2526,,,,AU002672782,,,,,all-ways.com.au,,,,105808
,ALPHA RIGGING SERVICE,Australia,ALPHA RIGGING SERVICE,,,60094680136,"11-13 HERBERTE COURT, WURRUK",,,SALE,Victoria,3850,,,,AU094680136,,,,,alpharigging.com.au,,,,101264
,ALPINE COUNTRY,Australia,ALPINE COUNTRY,,,60213717601,6 SASKIA WAY,,,MORWELL,Victoria,3840,,,,AU60213717601,,,,,https://www.alpinecountrymorwell.com.au/,,,,100315
,ALTO MOTORS,Australia,ALTO MOTORS,,,45005420833,,,,TRAFALGAR,Victoria,3824,,,,AU005420833,,,,,motors.co.uk,,,,100388
,AMAC CORROSION PTY LTD,Australia,AMAC CORROSION PTY LTD,,,75005052844,,,,CROYDON,Victoria,3136,,,,AU005052844,,,,,amacgroup.com.au,,,,104942
,AMADA FIRST AID AND MEDICAL P/L,Australia,AMADA FIRST AID AND MEDICAL P/L,,,41628013141,,,,GREENACRE,New South Wales,2190,,,,AU628013141,,,,,amadafirstaid.com.au,,,,111477
,AMARE SAFETY PTY LTD,Australia,AMARE SAFETY PTY LTD,,,67006945811,,,,MULGRAVE,Victoria,3170,,,,AU006945811,,,,,amare.com.au,,,,104442
,AMAZON WEB SERVICES AUSTRALIA PTY LTD,Australia,AMAZON WEB SERVICES AUSTRALIA PTY LTD,,,63605345891,"Level 37, 2 Park Street",,,Sydney,New South Wales,2000,,,,AU605345891,,,,,https://aws.amazon.com/?nc2=h_lg,,,,112435
,AMAZON WEB SERVICES INC,United States of America,,,,taxRegistrationNumber:20-4938068,410 TERRY AVENUE NORTH,,,SEATTLE,Washington,98109-5210,,,,US227955989L,,,,,aws.amazon.com,,,,109830
,AMBASSADOR INDUSTRIAL PTY LTD,Australia,,,,67006760747,,,,PATTERSON LAKES,Victoria,3197,,,,AU006760747,,,,,ambassadorindustrial.com.au,,,,101155
,AMBIT INSTRUMENTS PTY LTD,Australia,,,,50005613641,,,,CARRUM DOWNS,Victoria,3201,,,,AU005613641,,,,,ambitinst.com.au,,,,101522
,AMCCS PTY LTD,Australia,,,,93101989324,9A PEMBURY ROAD,,,MINTO,New South Wales,2566,,,,AU101989324,,,,,aesenvironmental.com.au,,,,109955
,AMJE PTY LTD,Australia,,,,90947499204,2 SELBORNE ROAD,,,TOORAK,Victoria,3142,,,,AU90947499204,,,,,,,,,111688
,AMPCONTROL CPS,Australia,,,,45083371653,23 WHEELER STREET,,,BELMONT,Western Australia,6104,,,,AU083371653,,,,,https://ampcontrolgroup.com/,,,,105275
,AMPCONTROL CSM PTY LIMITED,Australia,,,,35000770141,,,,RAYMOND TERRACE,New South Wales,2324,,,,AU000770141,,,,,ampcontrolgroup.com,,,,106614
