supplierID,category,subCategory,certifier,expiryDate,documents
11ec4c4a3208a140821faf998d9a9775,PWD,,,,
11ec4c4a3208a140821faf998d9a9775,LGBTQ+,,,,
11ec4c4dda9874e0821faf998d9a9775,MBE,,,,
11ec4d1c82ae5950821faf998d9a9775,PWD,,,,
11ec4d1c82ae5950821faf998d9a9775,LGBTQ+,,,,
11ec4d1c82ae5950821faf998d9a9775,MBE,,,,
11ec4d1c82562730821faf998d9a9775,PWD,,,,
11ec4d1c82562730821faf998d9a9775,LGBTQ+,,,,
11ec4d1c82562730821faf998d9a9775,MBE,,,,
11ec4d1c82562730821faf998d9a9775,VBE,,,,
11ec4d1c82562730821faf998d9a9775,WBE,,,,
11ec51cdd819fc90b58b2586d32420aa,PWD,,,,
11ec51cdd819fc90b58b2586d32420aa,LGBTQ+,,,,
11ec51cdd819fc90b58b2586d32420aa,MBE,,,,
11ec5bcf26e0d73091c3393707ad4ae3,PWD,,,,
11ec5bcf26e0d73091c3393707ad4ae3,MBE,,,,
11ec5bcf26e0d73091c3393707ad4ae3,WBE,,,,
11ec6d348139d2608e7db9142d073f01,PWD,,,,
11ec6d348139d2608e7db9142d073f01,MBE,,,,
11ec6d348139d2608e7db9142d073f01,VBE,,,,
11ec6d348139d2608e7db9142d073f01,WBE,,,,
11ec82a8564ac4e08e7db9142d073f01,PWD,,,,
